year,subject,examType,fileName,origin,sourcePath,sourceUrl,sha256,bytes,previousPdfFileName
2012,reasoning,even,LEET-2012-reasoning-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2012/reasoning-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=5&select=&key=&jjubi=&admin_id=&board_seqnum=32060&row_number=47,6a5197964de543d2c996e15c89c4a6a7ed11b26dc4de7a2a1cb96326d1642ee5,731831,LEET-2012-reasoning-even-viewer.pdf
2013,verbal,odd,LEET-2013-verbal-odd.pdf,Downloaded PDF,src/public/past-exams/2013/verbal-odd-v1.pdf,https://leet-calculator.site/exams/2013/,ff6e2d4590df17a320bf375b66965af0e085a061bd496d35d3b1924ed901009f,10362794,
2013,verbal,even,LEET-2013-verbal-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2013/verbal-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=5&select=&key=&jjubi=&admin_id=&board_seqnum=35447&row_number=45,f984460046747ba0554fd877fe67ff36d4b1e3dc0a4be47f78bca9da84a045de,828614,LEET-2013-verbal-even-viewer.pdf
2013,reasoning,odd,LEET-2013-reasoning-odd.pdf,Downloaded PDF,src/public/past-exams/2013/reasoning-odd-v1.pdf,https://leet-calculator.site/exams/2013/,808afd5245e84dac5a1c3a0c3566aadaba70fcb903b6285c669bb66c7eeadab5,9979878,
2013,reasoning,even,LEET-2013-reasoning-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2013/reasoning-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=5&select=&key=&jjubi=&admin_id=&board_seqnum=35448&row_number=44,b203def990708c3d26c93e330789ccdcfb24f4aeb16bae7ec693f5db65e0e30a,523659,LEET-2013-reasoning-even-viewer.pdf
2014,verbal,odd,LEET-2014-verbal-odd.pdf,Downloaded PDF,src/public/past-exams/2014/verbal-odd-v1.pdf,https://leet-calculator.site/exams/2014/,f59e775c6f6a30b3e83327f8656ec19729fde745615646274e1345a8235f83e9,10157147,
2014,verbal,even,LEET-2014-verbal-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2014/verbal-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=5&select=&key=&jjubi=&admin_id=&board_seqnum=42839&row_number=42,972c3ff287c3eba621d672517879d7b9fb27fee0a3fcf7393179783802bc090e,569552,LEET-2014-verbal-even-viewer.pdf
2014,reasoning,odd,LEET-2014-reasoning-odd.pdf,Downloaded PDF,src/public/past-exams/2014/reasoning-odd-v1.pdf,https://leet-calculator.site/exams/2014/,09993bcf74ffe33680c76b0b46d865850de8321f0517bfbd6c6a31870abce57e,8768641,
2014,reasoning,even,LEET-2014-reasoning-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2014/reasoning-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=5&select=&key=&jjubi=&admin_id=&board_seqnum=42840&row_number=41,c82e3c46302ff1737a9da2f37e6c057c3c91ed84eece0e16acd5790e6119cb76,594744,LEET-2014-reasoning-even-viewer.pdf
2015,verbal,odd,LEET-2015-verbal-odd.pdf,Downloaded PDF,src/public/past-exams/2015/verbal-odd-v1.pdf,https://leet-calculator.site/exams/2015/,16172a53c05f317f4a4fdf77640abc491cb02427102d5e3af424d7d44578e244,10303362,
